start next to table end on table (leave puddle)
height of setup:,57.77
time,value of sensor0,value of sensor1,value of sensor2,value of sensor3
834,950,1338,1946,2167
835,948,1338,1974,2171
837,950,1345,1993,2176
838,952,1351,2003,2178
839,954,1355,2005,2180
840,962,1362,2005,2185
841,965,1368,2006,2200
842,966,1371,2019,2236
843,966,1368,2047,2270
844,966,1373,2119,2306
845,962,1374,2175,2319
846,968,1382,2220,2321
847,973,1392,2249,2313
848,985,1411,2271,2306
849,996,1428,2281,2296
850,1006,1448,2287,2291
851,1012,1465,2284,2283
852,1015,1481,2274,2269
853,1015,1488,2261,2266
854,1011,1484,2239,2257
855,1004,1469,2205,2247
856,999,1450,2168,2238
857,992,1429,2133,2228
858,984,1408,2106,2220
860,975,1389,2083,2215
861,962,1369,2064,2207
862,959,1359,2064,2214
863,962,1352,2062,2211
864,972,1356,2065,2216
865,985,1365,2061,2213
866,1003,1396,2087,2215
867,1016,1421,2101,2214
868,1026,1447,2125,2224
869,1030,1468,2154,2243
870,1033,1487,2201,2275
871,1033,1502,2254,2304
872,1033,1518,2302,2322
873,1031,1530,2337,2329
874,1032,1544,2359,2334
875,1031,1553,2371,2336
876,1031,1561,2378,2334
877,1029,1566,2377,2326
878,1027,1570,2372,2316
879,1023,1573,2364,2302
880,1017,1571,2353,2287
882,1000,1549,2335,2253
883,978,1524,2295,2247
884,967,1501,2306,2288
885,959,1492,2331,2366
886,952,1476,2352,2422
887,951,1463,2361,2459
888,935,1421,2304,2427
889,934,1423,2282,2433
890,926,1414,2235,2415
891,935,1413,2212,2391
892,939,1406,2177,2360
893,945,1404,2150,2346
894,945,1394,2111,2315
895,948,1393,2073,2286
896,949,1395,2038,2255
897,951,1398,2009,2227
898,950,1395,1982,2202
899,951,1389,1952,2181
900,952,1383,1923,2162
901,956,1380,1900,2146
902,958,1371,1885,2130
903,956,1355,1877,2120
904,951,1334,1873,2110
906,942,1314,1874,2098
907,933,1297,1878,2084
908,919,1281,1882,2067
909,913,1274,1901,2066
910,911,1269,1915,2047
911,914,1274,1946,2057
912,918,1287,1972,2055
913,935,1314,1996,2055
914,946,1339,2009,2047
915,959,1370,2018,2041
916,965,1390,2021,2031
917,980,1416,2031,2029
918,991,1435,2040,2031
919,1008,1458,2057,2048
920,1027,1483,2077,2070
921,1046,1509,2098,2083
922,1064,1536,2111,2080
923,1080,1562,2118,2063
924,1081,1581,2100,2026
925,1099,1604,2114,2006
926,1104,1619,2099,1971
927,1106,1630,2076,1934
929,1106,1638,2058,1906
930,1104,1644,2051,1891
931,1099,1650,2054,1886
932,1094,1654,2053,1877
933,1089,1668,2076,1894
934,1077,1672,2081,1893
935,1080,1674,2083,1891
936,1077,1662,2082,1879
